Anime-PlanetID,Name,Alternative Name,Rating Score,Number Votes,Tags,Content Warning,Type,Episodes,Finished,Duration,StartYear,EndYear,Season,Studios,Synopsis,Url,picture_url,image_file
10001,Oshiri Tantei: Puputto Fumutto Kaiketsu Dance,Unknown,1.271,21,Family Friendly,Unknown,Web,1,True,2,2017,2017,Unknown,Toei Animation,No synopsis yet - check back soon!,https://www.anime-planet.com/anime/oshiri-tantei-puputto-fumutto-kaiketsu-dance,https://cdn.anime-planet.com/anime/primary/oshiri-tantei-puputto-fumutto-kaiketsu-dance-1.jpg,10001.jpg
10009,Chicken Ramen CM,Unknown,3.021,92,"Animal Protagonists, Anthropomorphic, Birds, Commercials, Demons, Hell, Non-Human Protagonists, Promotional, Short Episodes",Unknown,Web,7,False,1,2018,Unknown,Unknown,HOTZIPANG,"Hiyoko-chan sits down to enjoy a delicious bowl of Nissin's Chicken Ramen, and he's willing to go to demonic lengths to enjoy it...",https://www.anime-planet.com/anime/chicken-ramen-cm,https://cdn.anime-planet.com/anime/primary/chicken-ramen-cm-1.jpg,10009.jpg
10010,Caribadix,Deeky & Carina,2.187,12,"Comedy, Animal Protagonists, Anthropomorphic, Music, Non-Human Protagonists, Rock Music, Sanrio Characters, Short Episodes, Original Work",Unknown,TV,46,True,1,2017,2018,Spring 2017,Fanworks,Deeky is a wolf whose wild appearance belies his pure-hearted and slightly gossipy moe nature. Carina is a squirrel whose soft and cuddly appearance hides the black and beating heart of a hard rock monster. Together they form a band to compete in a rock music competition.,https://www.anime-planet.com/anime/caribadix,https://cdn.anime-planet.com/anime/primary/caribadix-1.jpg,10010.jpg
10011,Caribadix 2nd Season,Deeky & Carina 2nd Season,1.814,10,"Comedy, Animal Protagonists, Anthropomorphic, Music, Non-Human Protagonists, Rock Music, Sanrio Characters, Short Episodes, Original Work",Unknown,Other,39,True,1,2018,2019,Unknown,Fanworks,Second season of Caribadix .,https://www.anime-planet.com/anime/caribadix-2nd-season,https://cdn.anime-planet.com/anime/primary/caribadix-2nd-season-1.jpg,10011.jpg
10020,Shuukan Shimakou,Unknown,1.529,10,"Comedy, Short Episodes, Work Life, Based on a Manga",Unknown,TV,22,True,3,2011,2011,Spring 2011,DLE,No synopsis yet - check back soon!,https://www.anime-planet.com/anime/shuukan-shimakou,https://cdn.anime-planet.com/anime/primary/shuukan-shimakou-1.jpg,10020.jpg
10022,Love and Lies OVA,Koi to Uso OVA,3.019,320,"Romance, Shounen, Arranged Marriage, Love Triangle, Based on a Manga",Unknown,OVA,1,True,29,2018,2018,Unknown,LIDEN FILMS,No synopsis yet - check back soon!,https://www.anime-planet.com/anime/love-and-lies-ova,https://cdn.anime-planet.com/anime/primary/love-and-lies-ova-1.jpg,10022.jpg
10024,Marty Friedman: The Perfect World,Unknown,3.605,433,"Action, Sci Fi",Violence,Music,1,True,3,2018,2018,Unknown,Production I.G,The official music video for The Perfect World by Marty Friedman .,https://www.anime-planet.com/anime/marty-friedman-the-perfect-world,https://cdn.anime-planet.com/anime/primary/marty-friedman-the-perfect-world-1.jpg,10024.jpg
10031,Wo de Nitian Shenqi,Unknown,3.247,240,"Action, Adventure, Fantasy, Chinese Animation, Magic, Based on a Manga",Violence,Web,16,True,15,2018,2018,Unknown,"Pb Animation, Haoliners Animation League",No synopsis yet - check back soon!,https://www.anime-planet.com/anime/wo-de-nitian-shenqi,https://cdn.anime-planet.com/anime/primary/wo-de-nitian-shenqi-1.jpg,10031.jpg
10035,Koori no Kuni no Misuke,Unknown,2.598,21,"Adventure, Animal Protagonists, Dogs, Family Friendly, Non-Human Protagonists, Person in a Strange World, Shorts",Unknown,Movie,1,True,16,1970,1970,Unknown,Tezuka Productions,"A puppy, Poko, jumps out of a refrigerator and takes a boy, Misuke, to an ice world full of adventure through the refrigerator. In the ice world, there is a girl called Nally who wants warm food. So they try to find some warm food for her, but everything freezes so quickly in the ice world...",https://www.anime-planet.com/anime/koori-no-kuni-no-misuke,https://cdn.anime-planet.com/anime/primary/koori-no-kuni-no-misuke-1.jpg,10035.jpg
10036,Dou Po Cangqiong 2nd Season,Battle Through the Heavens 2nd Season,4.217,452,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation",Unknown,Web,12,True,20,2018,2018,Unknown,Foch,Second season of Doupo Cangqiong .,https://www.anime-planet.com/anime/dou-po-cangqiong-2nd-season,https://cdn.anime-planet.com/anime/primary/dou-po-cangqiong-2nd-season-1.jpg,10036.jpg
